u v w
86729332 91352898 1123.725
86729332 91352678 276.399
86730198 86797752 2343.138
86732328 89024920 1151.377
86769891 86829545 333.541
86769891 1671615843 1648.825
86797752 5335672849 61.125
86797752 86798256 116.012
86798308 86732328 32.404
86798308 1672095412 1267.381
86798357 86798308 30.658
86829545 1671615580 747.036
86829545 1671615476 748.083
86829562 91407472 3665.215
86829599 86829600 559.176
86829599 1684813344 521.288
86829600 3372606283 12135.547
86829657 3299585023 1459.428
86829657 91429846 235.368
86829675 86841160 343.209
86829675 408693687 1191.824
86841160 86841175 481.81
86841160 775073796 591.186
86841175 86841181 405.236
86841181 91484674 1644.094
86841216 10603925336 478.773
86841216 4555492646 1271.956
86841225 86841231 348.99
86841225 5351524242 308.528
86841231 86841239 2035.827
88975023 5335672846 829.118
88975023 1672095412 618.832
89024180 89024185 483.2
89024180 86829562 1625.306
89024185 1671615566 468.592
89024185 89024364 1068.204
89024364 86730198 330.956
89024920 89025120 4553.536
91352678 1672362267 986.811
91352678 1672402432 522.187
91352898 89024180 4677.201
91407472 3785926540 700.972
91407472 3785926531 564.109
91407937 9402412023 507.875
91407937 3544611983 391.879
91409500 91409845 232.756
91409500 3076176462 482.87
91410243 4150893952 862.89
91428671 3544611864 442.312
91429648 3471290685 463.831
91429648 3459240638 197.47
91429846 1106518477 357.988
91429846 1106518121 404.939
91484674 9420268912 220.7
91484674 5358020581 908.649
91486268 5351613290 2962.837
91489128 91489131 18.505
91489128 5979110692 1070.058
91489131 8111458500 532.704
91489131 1141239828 915.929
91489455 3906795928 616.61
91489455 91489466 1050.776
91489455 4753273540 391.299
91489466 1141240142 469.893
91489466 9790779782 458.506
146083682 146083718 496.326
146083682 146100599 9.606
146083718 3038437440 439.186
146084452 146099683 9.06
146084452 3029191014 654.639
146085853 146086597 794.633
146085853 3047294165 647.031
146086597 3051274965 352.258
146089144 146089221 360.172
146089144 4123620953 364.314
146089221 146091216 67.833
146089221 3427721260 20.2
146089221 146090745 383.449
146089710 4123606122 15.356
146089710 7147870127 143.544
146089808 146090387 516.714
146089808 3461605872 391.487
146090387 3985477688 322.843
146090387 3063074589 372.69
146090745 146090778 126.144
146090745 4123620931 211.1
146090778 4123620934 231.123
146090778 146091216 402.282
146091216 4123615241 820.337
146092591 4150473857 243.233
146095824 146089808 7.92
146095824 4123606121 397.719
146095926 146089710 13.676
146095926 4123615274 230.054
146096939 146089221 17.934
146096939 146097076 351.261
146097076 146089144 14.11
146097076 4123620954 1633.183
146098311 146098724 314.35
146098724 146099031 478.571
146099031 146085853 8.522
146099031 4123630446 175.964
146099614 3029191014 7.43
146099614 146099683 651.423
146099683 3051281293 1058.781
146099683 3037051348 692.857
146100599 8071506376 9.167
146100599 8071506380 2572.44
146100683 3041671180 859.498
146100854 3041671160 7.562
146100854 146100918 536.071
146100918 4686970665 678.361
370298923 1684521234 873.222
370298923 1684521176 579.571
370298930 370299152 504.21
370298930 86730198 1614.749
370299152 1671615702 728.376
370299152 1671615580 482.715
370300042 1105292111 573.49
370300042 1105292150 1266.445
370300049 370300042 3629.903
370300054 1105120682 997.42
370300054 370300055 633.809
370300055 1105120488 5642.842
370300061 370300065 3201.037
408693687 1106446009 4923.949
430636616 1671615643 267.128
430636616 658983392 1652.777
430636624 1672095437 15.424
430636624 3200375183 517.148
430636635 3150858609 25.908
430636635 430636643 772.321
430636643 430636624 418.188
430636648 430636643 136.503
430636648 4028049095 6077.399
430636649 430636648 93.055
430636651 430636649 265.374
430636651 3902063710 254.992
518911437 3040552969 41.918
618439639 3417388939 474.792
618439639 10129347365 10.523
618439640 10129347361 12.625
618439640 3417388779 511.809
618439642 3530816367 488.565
618439642 618439655 400.444
618439643 1109276289 11.83
618439643 3110797428 799.532
618439645 1109276323 12.362
618439645 3100288732 670.751
618439645 3536174503 456.826
618439651 1117081480 245.269
618439651 1117081761 358.316
618439652 8093409588 168.385
618439652 4178176378 433.788
618439654 1117081418 363.848
618439654 1106478804 402.492
618439655 3530816296 8.687
618439655 3530816393 485.1
618439658 895492252 13.427
618439658 8124183085 765.728
618439659 1131562695 27.377
618439661 1109214320 21.474
618439661 4178176374 954.087
618439663 5211743293 181.447
618439663 895492260 14.836
618439673 1108235263 15.657
618439673 3299585407 1373.694
618439674 1108235274 9.722
618439674 618439673 886.469
618439675 3100301597 280.423
618439676 2977996604 12.647
618439676 10129347380 422.518
618439681 618439655 554.612
618439681 1106446021 328.577
618439684 1109276305 17.146
618439684 4178176387 444.715
618439685 6150391210 251.371
618439685 6150391196 50.324
618439686 3417389017 309.47
618439686 3417389021 332.092
618439687 9612105174 96.667
618439687 6019203777 403.545
618439687 9625739793 1180.128
618439688 3417389012 444.462
618439688 3110775756 414.334
618440067 4267617843 355.24
618440067 9596387703 231.67
618440454 10129267968 380.881
618440454 4178176892 426.977
618440467 10129267819 344.552
618440467 8925846859 438.229
618440474 4178176972 379.108
618440474 8088377708 207.011
618952597 1613434334 8.232
618952597 618953119 576.519
618953117 3062989590 626.187
618953119 1613434018 8.252
618953119 1613434277 457.927
622569227 1802701651 13.315
622569227 3009810741 499.464
622569233 1810740537 280.349
622569233 1802142384 308.594
622569234 1123904413 12.052
622569234 10129340065 33.431
622569238 3290302057 76.642
622569239 3290438795 108.153
622569239 3290438785 534.169
622569241 1070301008 307.438
622569241 10129340369 928.291
622569248 7678893996 10.741
622569248 7678893992 721.227
622569248 8353699406 318.069
622569251 1105120803 16.549
622569251 370300061 837.365
658983306 1105291455 375.855
658983306 86841181 1374.191
658983307 658983316 2449.96
658983316 3299585016 305.759
658983316 658983319 1865.91
658983319 3372606281 2603.917
658983363 3785945556 3684.706
658983392 1672362282 4671.185
739374875 895492498 1406.96
739374875 739375320 233.059
775073771 5335672848 576.251
775073771 89024920 1201.337
775073785 5335672839 60.922
775073796 5366527345 358.023
812699810 5351524227 254.231
812699810 5351524223 128.706
812699867 812699876 403.835
812699867 4555492649 1455.315
812699876 812699887 285.922
812699876 1919024519 239.121
812699887 1919024421 483.959
812699913 4555492649 258.664
812699913 812699972 1285.293
812699972 4055188644 90.15
812699972 1439719616 105.709
812699982 4055188642 6.264
812699982 10603925339 6.507
814343526 822483261 180.71
814343526 824063606 473.194
814567998 4555492647 1203.363
814568018 10603925341 32.379
814568018 10603925337 47.926
814568018 814568031 28.9
814568023 1919024571 401.303
814568031 4055188642 6.598
814568031 1439719616 28.274
814568040 895475803 258.34
814568040 814568023 354.541
822483261 822483264 512.027
822483261 822483266 284.718
822483264 10038828814 123.207
822483264 822483265 345.798
822483265 1439718064 442.266
822483265 1108235278 225.555
822483266 1108235276 257
822483266 1439718064 88.885
822483268 1439718434 229.801
822483268 814343526 275.138
822483270 822483271 592.073
822483270 2987450730 322.718
822483271 2151727721 42.212
822483271 822483268 176.096
822483272 814343526 223.467
822483272 824063606 361.465
823976121 9989130345 42.786
823976121 2987612898 31.241
823976200 1141240146 732.644
823976200 10038847652 293.457
824063562 1108235276 1473.581
824063562 824063666 74.401
824063564 822483266 1492.088
824063564 824063562 240.102
824063566 10038828795 153.41
824063566 10038828793 340.278
824063577 1448661396 12.965
824063577 8272679862 382.964
824063587 6172692269 254.952
824063587 822483265 395.073
824063595 6172692244 297.134
824063602 2987552449 16.31
824063602 2987450729 326.613
824063606 824063651 1116.279
824063615 2693052932 311.257
824063615 824063595 154.06
824063640 10038828792 399.275
824063640 2987612834 823.29
824063642 6172692247 122.721
824063642 822483270 393.145
824063651 1108235257 278.375
824063651 1668285578 553.243
824063652 7876103267 67.296
824063652 824063602 231.146
824063666 824063666 224.887
825412209 1744507020 9.773
825412209 1668342014 546.147
840530190 1448661633 26.481
840530190 3015494843 512.615
846053682 1811470407 18.732
846053682 1812204927 423.097
846053684 1811470410 7.572
846053684 846053682 295.521
846053686 1812180125 7.859
846053686 1812180154 1110.377
846053687 8095097705 183.486
846053687 8095097709 239.865
846053711 1165244121 688.103
846053713 1811092716 8.718
846053713 1811092735 13.351
846053713 1811092706 344.825
846053713 1813435572 246.568
846053714 1813451355 233.615
846053714 1811092676 179.546
846053716 1813950900 127.031
846053716 1813950925 56.705
846053718 1813973071 172.135
846053718 1813887545 241.481
846053720 1812262660 8.836
846053720 1812289821 67.914
846053734 1811092793 7.82
846053734 1813827742 289.038
846828686 846828768 10289.134
846828741 7164457450 1056.114
846828757 846828741 1289.393
846828757 1919024529 399.037
846828768 1601411285 871.174
846828768 846828675 369.333
849563030 3986616618 240.293
849563033 1068419470 15.689
849563033 1068419504 321.4
849563044 1141239977 24.001
849563044 5302386890 502.528
849563047 1744507018 10.108
849563047 5042338414 245.083
849563062 2048151642 419.532
849563062 6001930319 354.704
849563062 2048199663 786.347
849563064 1135676886 8.312
849563064 9827888942 338.714
856441084 856441165 15.244
856441084 3292014484 215.22
856441165 1070301084 529.33
859797785 1067328631 17.02
859797785 859931841 222.896
859841070 859841077 12.816
859841070 2023163859 768.659
859841077 859841079 479.811
859841077 1067034349 191.919
859841079 1067043695 21.715
859841079 1067043691 179.207
859841083 1067301362 15.166
859841083 1067301360 128.899
860231576 1067301372 9.074
860231576 860231577 15.023
860231577 1063066663 196.129
860231577 8305792669 595.314
876886836 1105291629 4627.074
885434167 3747384684 12.808
885434167 1668342020 537.492
895475803 895475807 267.906
895475803 1919024455 782.214
895475807 1919024558 317.344
895492166 1117102228 587.269
895492166 895492212 890.872
895492212 3299585408 433.725
895492252 3045609909 577.894
895492252 1131562633 959.494
895492256 1109214486 22.778
895492256 9597008335 846.622
895492260 3459240680 934.596
895492260 3457350673 687.433
895492309 5351613292 3308.773
895492354 1919024421 408.123
895492354 814568023 478.113
895492498 7164457440 9892.287
915308910 4718682587 1303.631
915309061 915309064 82.087
915309061 915309064 71.981
915309064 915309111 604.293
915309075 5351613290 405.594
915309075 915308910 234.852
915309099 915309111 574.287
915309099 3100298958 473.756
915309111 1607610421 440.595
956655402 956655413 1276.904
956655402 9080153854 471.257
956655413 1512861936 266.732
956655413 3986616616 938.645
1017585525 1017585527 12.416
1017585525 2969216605 938.611
1017585527 10088264803 12.493
1017585527 3382452450 561.416
1017585543 1811470419 383.916
1017585543 846053686 292.637
1067043695 8305792669 13.853
1067043695 860231576 597.232
1067107368 2987644194 17.115
1067107368 1067107386 334.359
1067107386 2987552462 14.075
1067107386 1141240029 605.18
1067301372 859841083 192.011
1067301372 1067301360 311.796
1067328625 860231577 5.873
1067328631 859841083 14.024
1067328631 1067328625 193.647
1067328631 1067328625 202.859
1067360462 9827875478 777.109
1067360462 1067360473 542.219
1067360466 1067360470 11.264
1067360466 2048199663 503.163
1067360469 1067360466 10.669
1067360469 1141239779 822.063
1067360470 1067360473 10.763
1067360470 6137940553 96.77
1067360473 1067360469 10.515
1067360473 9827875502 795.286
1067360474 1067360462 8.017
1067360474 8093497132 219.881
1068419470 1068419604 730.345
1068419470 2023187678 706.19
1068419504 1068419616 16.202
1068419504 2023216838 250.065
1068419616 1068419470 322.542
1068419616 1634774750 217.497
1068692633 1068713024 8.689
1068692633 3048240530 483.965
1068692637 3023958357 59.932
1068692637 4354988156 432.944
1068709675 3100301547 529.973
1068709675 1068709681 1030.95
1068709681 1068692637 33.297
1068709681 2977996439 383.282
1068713016 7184053923 464.816
1068713016 7184053863 155.472
1068713017 1068713022 311.257
1068713018 1668334682 505.092
1068713018 3023958336 829.54
1068713022 1068692633 409.689
1068713022 3569169226 154.967
1068713024 2977996631 8.118
1068713024 4055385227 685.442
1070271466 618439681 135.658
1070271466 3530816328 701.289
1070271468 1070271466 42.714
1070271468 3530816328 635.596
1070271486 10129268022 629.889
1070271486 1106479024 1914.807
1070286762 3063239285 200.904
1070286762 1070300926 928.995
1070300926 3815206665 981.764
1070300926 5246859327 908.612
1070300945 10605526350 327.112
1070300945 10010421503 331.264
1070300959 10010421514 172.724
1070300959 1070300963 462.341
1070300963 1070300971 73.858
1070300971 1070300981 974.649
1070300971 8925846869 371.426
1070300981 10129268341 3179.852
1070300981 9597046217 784.603
1070300999 1070301004 1471.141
1070300999 1105303376 296.137
1070301004 622569241 371.424
1070301004 5842067744 304.726
