u  v  w
279961671  2319178757  901.522
279961671  2319175062  607.765
279961730  2351788727  1370.445
279961730  3752951586  881.699
623882911  4302705992  42.623
623882911  4302703784  68.416
623883001  6309272179  7.639
623883016  623883074  516.957
623883016  1682192796  648.184
623883037  623883073  848.534
623883037  1173151231  472.268
623883039  1848252689  1719.625
623883066  1173151231  623.636
623883066  623883039  327.807
623883073  1682192779  76.518
623883074  623883066  201.718
623887269  623887288  483.013
623887288  1332014376  4741.203
627272934  4306305585  125.181
627272934  4306307295  395.632
627272950  4314347241  27.81
627272955  627272957  126.772
627272955  4314353185  201.195
627272957  4314353164  7.695
627272957  4314353185  150.365
627272962  627272955  602.903
627273010  1173151048  1753.55
627273018  4314407070  1334.246
627273018  627273010  716.315
627273054  4305623950  770.409
627273054  3983089026  430.147
627273073  1680627459  3535.531
627273107  4305635567  70.485
627273107  4305635953  917.946
662258634  2963366008  186.46
662258634  2964721234  460.99
662258635  4525898208  166.631
662258640  8420786177  52.733
662258660  2963365965  19.875
662258660  8420786139  226.638
691167070  4304771387  89.798
691167078  2111722262  396.994
691167078  691167070  332.141
691167110  4314376376  336.924
691167110  691167128  282.654
691167128  6871817413  2173.957
691167162  2963365558  51.753
691167162  2456473985  13.567
691167164  6871830028  57.786
691167164  691167162  21.785
691167172  8420784707  53.48
691167173  691167174  88.614
691167173  6871830224  110.521
691167174  2456473956  15.305
691167174  6871830224  80.506
691167197  3753125554  14.752
691167197  5435498472  76.808
691167199  8564016043  21.994
691167199  4823384155  19.85
691765425  4305735219  673.184
691765501  2964891072  121.225
691851801  691852242  203.274
691851825  4305743768  395.106
691851825  4305564754  966.631
691852242  691765501  672.252
691852708  6436858220  41.157
691852710  4305564755  123.961
691853426  691853470  232.593
691853426  8602139473  923.907
691853470  7099832079  34.534
691859430  691859925  10.352
691859430  2964891347  252.325
691859431  691859438  275.964
691859438  691859441  269.014
691859438  8212714227  192.035
691859441  4305564922  121.014
691859479  691859430  255.399
691859479  4305743755  14.575
691859755  8212714225  187.953
691859920  691859925  194.92
691859925  691859431  95.04
1173058112  1682192637  140.599
1173058112  1682192740  1023.988
1173058159  2122282964  2876.045
1173058345  2122283025  870.424
1173058345  5222386974  276.76
1173058365  1177144749  901.77
1173058365  3130862915  1061.286
1173058377  1173058112  2516.086
1173151048  623883073  478.999
1173151048  623883039  634.369
1173151207  623887288  1023.149
1173151207  4302706027  457.458
1173151231  1682192868  1834.125
1177136249  1177136462  71.204
1177136301  1177136249  542.243
1177136301  2331876788  861.28
1177136395  2328892184  592.215
1177136395  2328888214  1090.59
1177136462  2331859584  841.629
1177136462  2331677912  492.906
1177136558  2328268752  493.233
1177136575  2331876788  655.832
1177136575  2330728678  1161.174
1177136767  6526057189  739.96
1177144749  1177136558  341.184
1177144855  1177136301  3178.868
1177156727  8920950910  611.571
1177168491  2328915098  414.277
1177168491  1177136767  1045.403
1332014347  4306305568  397.953
1332014347  4301510963  1106.057
1332014349  1332014389  435.122
1332014372  4302496634  220.202
1332014372  4302554390  575.013
1332014376  1332014349  496.25
1332014376  1332014464  284.104
1332014385  1332014347  654.616
1332014385  1332014429  331.5
1332014389  3983089017  2206.761
1332014399  4302554390  516.749
1332014399  4302619464  256.964
1332014429  4302554411  123.572
1332014434  8317355571  276.502
1332014434  1332014385  311.155
1332014464  4302554411  374.028
1332014464  4302554437  267.519
1338311667  1926149204  23.764
1338311667  4302893313  163.127
1338311672  1682192763  3045.06
1338311717  1338311667  18.188
1338311717  4302893304  163.654
1338311907  1682212053  3111.667
1415634149  1415634192  776.005
1415634152  8586066879  33.761
1415634152  8586066882  31.802
1415634166  2964059064  93.589
1415634166  2964056223  15.244
1415634181  8586066875  113.724
1415634186  6871830209  499.364
1415634186  9237645172  298.506
1415634188  8586066874  713.775
1415634192  2456474010  21.483
1415634192  2964889786  1182.986
1415634219  8586081217  54.745
1415634219  2456473602  20.999
1415634415  4853737237  11.247
1415634415  2964889746  442.213
1415634432  4853737302  17.988
1415634432  2964889757  92.667
1428335520  627273010  1337.593
1428335520  4314404009  1408.336
1428335521  2456473841  1935.035
1428335606  2961392377  718.3
1428335606  4306315514  1508.499
1428678049  2963976739  880.855
1428678065  7955555428  17.893
1428678065  7955569202  508.694
1428682556  8151746935  602.906
1428682556  8151746922  183.946
1428682557  1428682556  16.078
1428682557  2961371409  720.012
1428682559  1428682562  24.894
1428682559  7959360083  35.565
1428682560  7959360078  25.12
1428682560  1428682559  11.572
1428682562  7959360068  37.886
1428682562  1428682564  11.24
1428682564  1428682560  24.367
1428682564  7959360073  44.492
1428682565  1428682560  54.632
1428682565  7959360078  62.535
1428682587  1428682589  17.964
1428682587  7954791356  504.166
1428682588  1428682587  18.637
1428682588  7959360069  863.936
1428682589  1428682592  19.82
1428682589  6196101488  605.508
1428682592  1428682588  17.802
1428682592  2964052238  593.936
1428682593  1428682595  29.236
1428682593  8426273593  52.234
1428682594  1428682593  17.504
1428682594  8426273578  52.945
1428682595  1428682596  18.827
1428682595  8426273585  62.679
1428682596  1428682594  29.128
1428682596  8426273601  56.015
