u v w
1338091018 1809137951 96.116
1338091018 1809137899 404.735
1338091039 1809137801 18.39
1338091039 6141829873 55.028
1338091050 3337936048 232.086
1338091061 1823313190 50.654
1338091061 6141829870 963.834
1338091065 1646471692 32.548
1338091065 4646433254 48.728
1408396641 1814233392 2328.584
1408396641 1539924892 416.362
1468923071 1469012564 63.623
1468923071 1468923081 47.117
1468923081 1468923085 24.629
1468923081 1468923145 367.939
1468923085 1468923100 39.023
1468923099 1468923071 111.412
1468923100 1468923099 13.306
1468923100 6579698960 299.482
1468923145 9404672155 16.558
1468923145 6180996442 2781.06
1468923148 1468923145 16.957
1468923148 1468923085 348.309
1468923150 1468923148 15.563
1468923150 1468923171 460.671
1468923170 1468923171 12.782
1468923170 1468923148 451.314
1468923171 1468923172 8.621
1468923172 1468924690 14.542
1468923172 1468923220 504.941
1468923220 1809221032 555.991
1468923220 3479214730 813.146
1468924690 9575918323 19.976
1469012564 1469092901 280.208
1469012564 7332016058 697.384
1469092751 1469092768 30.24
1469092768 1469092815 108.989
1469092768 1469092751 17.377
1469092893 1469092751 459.103
1469092893 1469092901 9.444
1469092901 1469092893 188.862
1539924693 1814258224 36.821
1539924693 1814258220 160.849
1539924744 1770234706 415.653
1539924750 1539924759 233.468
1539924750 6225935067 141.007
1539924759 6225936594 242.38
1539924796 1539924951 23.358
1539924816 1539924693 65.792
1539924816 1539924848 37.398
1539924892 2133183628 25.983
1539924892 1539924950 1277.883
1539924937 1539971414 26.835
1539924937 1817420601 981.83
1539924950 1539924937 14.259
1539925012 1539924744 160.561
1539925012 1539924816 325.177
1539925023 1539925012 18.373
1539925023 1691002669 404.671
1539970715 6311730506 13.3
1539970715 6311730491 44.37
1539970719 1809810047 537.86
1539970719 1539970845 448.75
1539970790 1643025131 13.51
1539970790 6321277918 42.173
1539970825 1809810129 194.697
1539970825 5378278439 339.011
1539970845 1809810019 559.706
1539970845 1539971281 229.771
1539970858 5385857232 643.413
1539970908 1809819667 194.605
1539970961 1539970981 35.867
1539970961 6311730499 61.635
1539970981 6311730499 43.903
1539970981 6311730507 12.721
1539970984 9778577081 65.615
1539970991 1809816614 91.279
1539970991 1809816599 1181.175
1539971015 1809818905 3.04
1539971094 1771342905 44.807
1539971094 1809818925 46.405
1539971127 1539971184 27.915
1539971127 1809810029 637.422
1539971161 8255419635 3208.523
1539971184 7272237918 43.963
1539971184 2858395212 732.618
1539971186 1771342874 22.01
1539971186 1539971432 146.497
1539971229 1817420451 16.308
1539971229 1817420350 51.308
1539971245 1539970790 19.149
1539971245 4285890115 255.254
1539971276 1408396641 23.365
1539971276 1770234687 63.307
1539971281 6388946417 319.767
1539971281 5385522569 449.371
1539971318 1771343064 298.055
1539971378 1539970719 302.445
1539971378 1809810111 535.783
1539971414 2133183648 14.868
1539971414 4034963990 21.218
1539971420 10170424249 1469.976
1539971432 5385523648 142.099
1539971452 1539971015 19.756
1539971452 1539971312 82.785
1643025085 6897192816 3000.134
1643025085 3815473784 1115.297
1643025131 6321277913 39.022
1643025131 1643025152 19.319
1643025149 3417574000 198.488
1643025149 1539971245 11.921
1643025152 1643025149 14.197
1643025152 1539971245 12.711
1643025158 3145762400 186.974
1643025158 4285890117 279.061
1643025228 1643025085 921.021
1643025228 1831510855 1208.649
1643025243 1643025228 3629.449
1643025243 3336412551 936.646
1646411402 5375225224 29.904
1646411402 1646411530 395.826
1646411419 1646411891 55.161
1646411419 4031094128 48.892
1646411423 6537354556 62.394
1646411448 1646411431 343.207
1646411448 5393538152 1512.488
1646411488 3300688873 317.687
1646411488 4646433257 785.493
1646411528 5375225225 30.658
1646411528 1646411402 264.301
1646411530 1809171453 281.134
1646411530 6141829878 226.364
1646411550 1845163280 331.559
1646411550 1646411655 204.17
1646411558 1809187067 781.532
1646411558 1646411448 1118.698
1646411587 1338091039 25.19
1646411587 5375180736 1140.881
1646411611 1809171444 68.805
1646411611 1809171407 8.143
1646411655 1845162639 331.632
1646411655 5433628856 813.445
1646411682 4646433250 46.117
1646411682 1338091065 35.244
1646411718 4646439138 48.624
1646411718 1646411819 19.761
1646411798 2022376905 51.087
1646411798 1809171412 44.662
1646411811 5518831401 50.962
1646411819 4646439134 42.852
1646411819 1809137912 19.103
1646411891 1767501205 13.237
1646411891 3336440135 63.159
1646411892 1845162004 264.63
1646411892 1646411550 497.651
1646471687 4422244131 56.716
1646471687 1646471747 19.394
1646471692 2968884944 29.296
1646471692 4526755036 53.567
1646471719 5383972101 52.906
1646471719 1809209378 23.062
1646471720 10043031736 924.801
1646471720 1646471732 19.06
1646471732 5928927747 66.607
1646471732 4646408806 11.977
1646471747 1646471783 29.516
1646471747 5384017187 360.559
1646471754 3145746553 33.849
1646471754 4646433256 1237.086
1646471764 6211947612 1623.197
1646471779 1646471687 29.788
1646471779 5383972062 876.72
1646471783 1646471779 22.273
1691002598 1691002669 21.164
1691002598 1539925012 405.426
1691002669 5385856824 1090.634
1691020241 4644521885 405.527
1691020241 1814274995 47.711
1691020245 1539970825 20.892
1691020245 5385523636 5.98
1691020253 1691020374 9.676
1691020255 4644525700 9.252
1691020255 1691020384 690.014
1691020260 1814275011 42.131
1691020260 4329560209 32.61
1691020298 1691020241 1123.648
1691020298 4329560216 73.31
1691020300 4644521885 7.601
1691020300 5385856618 21.221
1691020308 4644525696 8.663
1691020308 3144903480 772.981
1691020315 4285890099 111.491
1691020315 4285850191 13.323
1691020320 1814282711 145.103
1691020320 1691020300 394.459
1691020322 1691020253 15.119
1691020374 3147455376 300.342
1691020374 4285850187 10.193
1691020378 1817349610 198.797
1691020378 1691020260 360.125
1691020381 6201094872 210.825
1691020381 1691020253 145.15
1691020384 1691020308 381.983
1691020384 3154130523 524.293
1767501200 1845163241 732.282
1767501200 1767501203 2377.683
1767501205 4029827351 26.788
1767501205 6452930497 53.06
1770048542 1770048871 1043.382
1770048747 1770048542 26.661
1770048747 9778577068 1535.545
1770048871 2858295061 1019.136
1770048871 2858295046 893.711
1770057412 1814301861 10.356
1770057412 1818059667 163.301
1770057416 1770057494 194.389
1770057416 1770057439 67.6
1770057418 1770057568 267.379
1770057421 1814301920 70.699
1770057421 1770057439 203.041
1770057439 1770057555 125.773
1770057461 1814301958 24.849
1770057461 1817420315 295.159
1770057489 1770057512 381.921
1770057489 1770057526 406.179
1770057494 1817420614 11.202
1770057494 1770057543 228.489
1770057498 1817420416 419.527
1770057512 1817420646 12.908
1770057512 1770057494 342.384
1770057517 1817420387 1095.331
1770057517 1770057555 499.448
1770057526 1817420667 214.18
1770057526 1814309748 246.806
1770057543 1817420387 10.664
1770057543 1770057517 455.315
1770057544 1817420158 11.926
1770057544 1770057412 193.801
1770057555 1770057416 113.366
1770057568 1691020298 16.51
1770057568 1770057576 252.106
1770057573 1817420504 10.516
1770057573 1770057489 173.39
1770057576 1814275043 75.533
1770234616 1770234616 1269.662
1770234618 6225936597 67.71
1770234621 1814233171 520.088
1770234621 1814233228 967.164
1770234622 1539924750 24.723
1770234622 5378278601 181.771
1770234634 1770234616 63.8
1770234634 5385856823 54.611
1770234635 6225935081 37.948
1770234648 1539925023 575.871
1770234687 1770234634 65.961
1770234695 1770234687 1213.962
1770234695 1539971276 388.659
1770234706 1770234648 21.796
1770234706 6225936595 40.606
1770236905 1809810360 420.887
1770236905 1539971184 657.682
1770236918 6388946418 276.889
1770236918 1539971281 420.812
1771342849 1771343124 21.959
1771342849 1809810180 1129.595
1771342874 1771342849 22.744
1771342877 6311728284 485.783
1771342905 1809818916 9.659
1771342905 10036657093 56.998
1771343064 1809821799 17.382
1771343064 1809821799 539.986
1771343124 1539971186 21.171
1771343124 1771343579 541.87
1771343163 9250716150 137.925
1771343163 1809810061 961.505
1771343227 6311730506 50.889
1771343227 6311730495 63.891
1771343375 1809816603 234.509
1771343375 6203640879 329.159
1771343439 6311730507 50.771
1771343439 6311730502 64.545
1771343451 6203640868 18.878
1771343451 7272238063 13.584
1771343489 1809810327 692.358
1771343489 1539971186 541.137
1771343579 1771343489 14.632
1771343579 1771343163 467.984
1809137665 1809137906 7.327
1809137665 1809137825 181.537
1809137668 1809137908 1055.648
1809137668 1809137872 339.099
1809137711 1926195078 11.139
1809137711 1809137814 556.878
1809137729 2858737267 497.722
1809137735 1809137665 306.274
1809137748 1809137668 12.892
1809137748 1809137800 400.844
1809137758 1809137938 285.251
1809137758 3145720105 1933.859
1809137800 1809137668 411.778
1809137800 4329590666 776.214
1809137801 6141829877 27.799
1809137801 1809137875 24.55
1809137814 5375225230 134.42
1809137814 1809137835 242.368
1809137825 1809137951 417.723
1809137825 6141842199 632.744
1809137835 5375225259 32.858
1809137835 5375225269 837.291
1809137847 1809137884 515.526
1809137872 1809137920 18.925
1809137872 4329590667 125.731
1809137875 1646411587 18.642
1809137884 6141829874 394.208
1809137884 1809137847 15.877
1809137899 1809137906 182.251
1809137899 1809137825 7.686
1809137906 1809137938 438.379
1809137906 1809137665 451.072
1809137908 9367079729 78.961
1809137908 1809137729 402.787
1809137912 4646439145 43.556
1809137912 1809137940 20.772
1809137920 1809140550 255.782
1809137920 1809137748 335.016
1809137938 1809137884 315.253
1809137938 1809137899 661.711
1809137940 1646411718 13.101
1809137940 4646439149 34.651
1809137942 3333345850 18.043
1809137942 1809161014 212.42
1809137951 1338091050 245.178
1809140532 1809140550 302.163
1809140533 4646439137 228.717
1809140535 4329590675 47.198
1809140543 1809140533 71.004
1809140543 1809140556 74.128
1809140550 1809140543 534.308
1809140555 1809171372 201.239
1809140555 4329590667 834.035
1809140556 1809140533 83.031
1809159394 1809159590 2889.914
1809159394 6537354565 234.388
1809159456 2087647851 1080.332
1809159485 7124705594 162.058
1809159485 1809137942 522.656
1809159590 1823317260 122.286
1809159590 1809159456 535.575
1809161010 1809159394 183.544
1809161010 3333345850 214.881
1809161014 3333345882 4.512
1809161014 1809161023 129.499
1809161022 3333357772 78.025
1809161023 1809161022 40.802
1809161023 3333357772 66.703
1809171363 1809171453 77.228
1809171364 1809171382 291.251
1809171369 1809171425 175.425
1809171372 1809171426 579.905
1809171372 1809171428 6.304
1809171382 1809171426 303.715
1809171382 1809171405 545.382
1809171389 5375224606 645.304
1809171405 1809171467 37.579
1809171405 1809171434 44.085
1809171407 1809171372 22.764
1809171407 4646439146 550.318
1809171412 1809171455 258.701
1809171412 2022376905 51.86
1809171425 1809171364 300.541
1809171425 1809171426 301.998
1809171426 1809171428 579.421
1809171426 1809137872 612.535
1809171428 1646411611 22.57
1809171428 1809171467 280.673
1809171434 4692315282 90.698
1809171437 1809171382 274.548
1809171437 1809185834 749.512
1809171444 1809171407 66.73
1809171444 5375225254 248.494
1809171453 1809171389 542.115
1809171453 5375224614 76.652
1809171455 3300688873 282.902
1809171455 3145746554 268.841
1809171467 1809171434 45.263
